# [LOCAL] One Han character -> pinyin, for the map-safe switch.
# Generated by tools/make_hanzi_pinyin.py - do not edit by hand.
#
# GB2312 level 1+2 only (6763 characters): the user asked to skip
# rare ideographs, this game never prints them.  Every listed
# character is replaced by its pinyin (camel case, spaced by the
# engine), which any Latin font can draw.
重建=Chong Jian
重新=Chong Xin
重复=Chong Fu
重庆=Chong Qing
重量=Zhong Liang
重要=Zhong Yao
沉重=Chen Zhong
重量级=Zhong Liang Ji
长大=Zhang Da
生长=Sheng Zhang
队长=Dui Zhang
家长=Jia Zhang
增长=Zeng Zhang
长江=Chang Jiang
长城=Chang Cheng
银行=Yin Hang
行李=Xing Li
行业=Hang Ye
行列=Hang Lie
行列式=Hang Lie Shi
音乐=Yin Yue
乐器=Yue Qi
乐器行=Yue Qi Xing
快乐=Kuai Le
乐趣=Le Qu
乐园=Le Yuan
娱乐=Yu Le
发现=Fa Xian
头发=Tou Fa
出发=Chu Fa
发射=Fa She
干净=Gan Jing
干燥=Gan Zao
干活=Gan Huo
干部=Gan Bu
能干=Neng Gan
骨干=Gu Gan
还有=Hai You
归还=Gui Huan
还钱=Huan Qian
还原=Huan Yuan
歌曲=Ge Qu
弯曲=Wan Qu
曲线=Qu Xian
扭曲=Niu Qu
参加=Can Jia
参与=Can Yu
人参=Ren Shen
参照=Can Zhao
差别=Cha Bie
出差=Chu Chai
差不多=Cha Bu Duo
参差=Cen Ci
教学=Jiao Xue
教育=Jiao Yu
教书=Jiao Shu
下降=Xia Jiang
降落=Jiang Luo
投降=Tou Xiang
降低=Jiang Di
系统=Xi Tong
关系=Guan Xi
联系=Lian Xi
系鞋带=Ji Xie Dai
效率=Xiao Lv
效率高=Xiao Lv Gao
率领=Shuai Ling
概率=Gai Lv
利率=Li Lv
弹药=Dan Yao
弹簧=Tan Huang
弹跳=Dan Tiao
弹力=Tan Li
弹壳=Dan Ke
子弹=Zi Dan
调整=Tiao Zheng
调节=Tiao Jie
调查=Diao Cha
音调=Yin Diao
声调=Sheng Diao
空调=Kong Tiao
种子=Zhong Zi
种类=Zhong Lei
种类多=Zhong Lei Duo
种植=Zhong Zhi
种地=Zhong Di
爱好=Ai Hao
好奇=Hao Qi
喜好=Xi Hao
应该=Ying Gai
答应=Da Ying
反应=Fan Ying
应答=Ying Da
倒下=Dao Xia
颠倒=Dian Dao
倒计时=Dao Ji Shi
省份=Sheng Fen
反省=Fan Xing
节省=Jie Sheng
风扇=Feng Shan
扇区=Shan Qu
数学=Shu Xue
数量=Shu Liang
数字=Shu Zi
数数=Shu Shu
宿舍=Su She
星宿=Xing Xiu
宝藏=Bao Zang
西藏=Xi Zang
收藏=Shou Cang
躲藏=Duo Cang
埋藏=Mai Cang
挣扎=Zheng Zha
扎针=Zha Zhen
扎根=Zha Gen
强大=Qiang Da
强壮=Qiang Zhuang
勉强=Mian Qiang
倔强=Jue Jiang
强调=Qiang Diao
一切=Yi Qie
切开=Qie Kai
切割=Qie Ge
切换=Qie Huan
切除=Qie Chu
宁静=Ning Jing
安宁=An Ning
宁可=Ning Ke
折断=Zhe Duan
折磨=Zhe Mo
折腾=Zhe Teng
折扣=Zhe Kou
曲折=Qu Zhe
处理=Chu Li
相处=Xiang Chu
到处=Dao Chu
四处=Si Chu
住处=Zhu Chu
好处=Hao Chu
相互=Xiang Hu
